Loss: 0.4578103721141815, Precision: 1.0, Recall: 0.800000011920929, AUC: 1.0, Accuracy: 0.9090909361839294
Loss: 0.14070355892181396, Precision: 1.0, Recall: 1.0, AUC: 1.0, Accuracy: 1.0
Loss: 0.3963923454284668, Precision: 0.75, Recall: 1.0, AUC: 0.9393938779830933, Accuracy: 0.8500000238418579
Loss: 0.4135802984237671, Precision: 0.7647058963775635, Recall: 1.0, AUC: 0.920673131942749, Accuracy: 0.8620689511299133
Loss: 0.7884299159049988, Precision: 0.6521739363670349, Recall: 0.8823529481887817, AUC: 0.7492260336875916, Accuracy: 0.7222222089767456
Loss: 0.2641477882862091, Precision: 0.8333333134651184, Recall: 1.0, AUC: 1.0, Accuracy: 0.9375
Loss: 0.11614872515201569, Precision: 1.0, Recall: 1.0, AUC: 1.0, Accuracy: 1.0
Loss: 0.20496177673339844, Precision: 1.0, Recall: 1.0, AUC: 1.0, Accuracy: 1.0
Loss: 0.6578155755996704, Precision: 0.625, Recall: 1.0, AUC: 0.8500000238418579, Accuracy: 0.7599999904632568
Loss: 0.3719348907470703, Precision: 0.7142857313156128, Recall: 1.0, AUC: 0.9181817770004272, Accuracy: 0.875
Loss: 0.632630467414856, Precision: 0.6666666865348816, Recall: 0.800000011920929, AUC: 0.8999999761581421, Accuracy: 0.800000011920929
Loss: 0.6018387079238892, Precision: 0.5555555820465088, Recall: 1.0, AUC: 0.8100000023841858, Accuracy: 0.6800000071525574
Loss: 0.3911571502685547, Precision: 0.800000011920929, Recall: 1.0, AUC: 0.9131944179534912, Accuracy: 0.875
Loss: 0.4802915155887604, Precision: 0.9230769276618958, Recall: 0.8571428656578064, AUC: 0.8775509595870972, Accuracy: 0.8928571343421936
Loss: 0.46115759015083313, Precision: 0.8125, Recall: 0.9629629850387573, AUC: 0.8932462334632874, Accuracy: 0.8409090638160706
Loss: 0.35649242997169495, Precision: 0.8888888955116272, Recall: 1.0, AUC: 0.859375, Accuracy: 0.9166666865348816
Loss: 0.5377261638641357, Precision: 0.6666666865348816, Recall: 1.0, AUC: 0.9375, Accuracy: 0.8333333134651184
Loss: 4.918728828430176, Precision: 0.0, Recall: 0.0, AUC: 0.0, Accuracy: 0.0
Loss: 0.6907224059104919, Precision: 0.5833333134651184, Recall: 1.0, AUC: 0.8061224222183228, Accuracy: 0.6428571343421936
